CONTROL,REASON_NOTAVAIL,OWN,LASTRENT,VAC_LENGTH,ASKINGRENT,I_ASKINGRENT,FW,FW1,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW19,FW20,FW21,FW22,FW23,FW24,FW25,FW26,FW27,FW28,FW29,FW30,FW31,FW32,FW33,FW34,FW35,FW36,FW37,FW38,FW39,FW40,FW41,FW42,FW43,FW44,FW45,FW46,FW47,FW48,FW49,FW50,FW51,FW52,FW53,FW54,FW55,FW56,FW57,FW58,FW59,FW60,FW61,FW62,FW63,FW64,FW65,FW66,FW67,FW68,FW69,FW70,FW71,FW72,FW73,FW74,FW75,FW76,FW77,FW78,FW79,FW80
12130379,5,-2,-2,6,-2,0,183.23813741,183.23813741,184.28500968,51.660059443,323.12167434,54.523102588,182.81578287,188.72986515,181.81191784,174.6786712,190.25352351,315.45361896,54.588804465,178.82827559,316.01655653,188.48108912,182.84327695,190.87262243,51.760964399,187.82519474,312.41382078,180.10570985,179.53076767,53.161325102,300.04419449,56.579458744,302.48072715,50.849526984,311.80571533,54.539640194,316.78875255,52.949166757,185.46669812,180.86762357,319.07595069,186.90760253,55.378183564,177.57502998,185.06312919,187.92253116,313.3726374,176.00387402,55.121394957,305.83027655,187.47160565,186.20794082,178.98575155,185.73113586,182.74438665,53.50870044,315.09041868,52.470039162,179.3678896,306.30149118,53.073619266,319.67163354,185.10308059,187.50513763,182.57613891,55.418369022,185.7240287,311.56958552,182.05273496,54.195306385,310.37226175,174.77629302,181.81147259,56.634094199,178.94771711,311.82931705,55.071251625,187.56975258,315.41986427,179.11858297,53.125577801,183.65022492,188.08735659,179.08431078,320.52123733,51.444577193,317.78346231
12130401,1,2,-1,4,-2,0,427.6887636,427.6887636,425.61836069,124.75613528,755.51776803,428.36832264,414.07316176,439.01536402,424.64860201,428.93987007,126.53625124,724.17327422,126.38248831,415.9131715,744.05552579,123.88512752,719.84641344,443.73014537,420.73634054,430.96403881,127.32633765,415.3783647,731.90497008,420.99686418,125.5801933,739.67215328,430.35969169,421.25502238,125.64095973,433.81953884,730.89454433,122.52866048,426.47832482,752.69351754,405.01199578,125.49290746,449.38524718,432.73281536,413.54989779,709.78453958,127.73047419,724.40141331,447.39294965,121.11923429,745.13166339,123.49920946,424.43665952,435.12795649,416.32390788,426.9860505,434.09135252,724.27492774,122.39029202,434.25076781,751.39770086,414.17362105,435.32822142,435.04151991,124.73616343,434.88339011,730.70062293,416.45652996,424.56008358,129.55037709,729.97661651,123.59896932,716.39682957,127.96704532,708.03379197,130.61089184,691.74647855,131.40616469,424.55397689,431.28695231,710.26274392,429.1099795,123.76956231,442.78322566,428.43546626,408.74457271,742.71977867
12130471,5,-2,-2,6,-2,0,446.8685051,446.8685051,440.73910367,803.22739358,126.12703196,445.87213744,783.45113771,437.67376887,436.9518859,477.18326201,124.88886908,463.26245285,759.92212591,422.96400536,456.95513265,136.82834705,719.68189405,139.42437271,772.58955022,118.82860974,822.39196183,130.97063466,845.43052829,123.48162328,447.57467043,448.97807211,737.69155297,470.14191363,132.16841076,444.46770889,427.77023212,457.73991884,725.04060011,467.59181454,133.11926391,732.23739861,465.9966784,457.10214867,426.54201303,467.0729078,446.22241679,135.43272239,769.92379673,128.62652499,452.29317986,736.94233382,127.2447062,769.70691996,437.30523857,458.2390618,432.36472382,136.77294972,454.00820917,741.09444163,447.13723406,130.74558351,838.14137841,417.5044814,495.06063617,130.05448764,419.71287607,762.86921308,127.73175405,479.53561182,699.61796081,453.34839917,136.8913171,447.67436262,457.48216208,458.35308035,767.88404598,125.72112055,782.9842401,445.4660707,129.18118677,767.20674115,127.86447989,480.45576443,439.55718944,466.34748807,431.42801098
12130492,2,-2,-2,-2,-2,0,359.33802269,359.33802269,625.57353422,107.37418872,369.00127441,615.7985414,364.11761817,353.91877582,354.72693231,109.74202589,365.93728589,589.48172939,368.25802271,345.22375041,107.63031353,635.11123858,105.79865368,594.46087348,106.49076113,591.59111804,115.12711633,590.68648434,110.45549318,363.20788258,363.02574871,602.53585786,358.41860347,107.28088041,366.03556434,342.86067922,362.06667191,624.34659311,360.14856142,106.59790354,604.83377824,354.9917146,376.24894737,357.52910007,349.09741203,376.34190478,104.1604167,611.81435803,112.42827808,354.32787435,599.71373778,103.71419009,601.50483888,359.70840676,362.24318668,364.38459644,102.53072531,377.5155278,621.16752175,364.35011645,102.55587492,634.04721458,363.98905878,353.33805818,110.39334318,350.79290667,623.30036518,101.91234583,360.48309904,626.1467143,366.08582628,102.19958742,372.13448954,363.87360885,376.02326482,603.76850396,102.99690178,636.6211699,369.9559999,105.16198656,594.9113808,104.36208542,359.49227394,372.93275677,365.01225502,368.83291133,338.36152145
12130523,3,2,1128,3,-2,0,324.91996727,324.91996727,574.9394889,93.966240904,326.99361382,565.13343258,318.45617618,326.939326,321.79155241,97.355414698,330.65723238,529.57400797,325.36803707,325.10973179,95.258623917,573.56686426,93.671533971,571.81900395,90.026780896,566.25397487,95.433674526,544.28600779,94.444231443,331.34443775,323.48635261,563.39475654,318.77930223,94.200492224,330.33680975,324.24051719,318.3705641,581.78471139,327.58418162,93.387178237,556.50985036,322.99624029,320.37402562,325.15258001,327.07062192,322.9703849,95.835303711,550.1750372,97.338871999,321.26059378,563.16556059,93.228080275,561.77026413,323.04419447,334.12054804,322.53454809,95.233621749,326.12816251,560.22964629,325.87090914,96.30817535,539.74490257,327.20110735,316.91870575,99.518834154,321.34599353,564.82035621,92.792644666,337.10300477,535.55253615,343.61052602,92.319178379,326.73994625,313.22995681,339.89853553,534.57725619,98.569260471,542.09447714,320.8561132,99.394441193,541.76743692,95.217239941,331.04913346,325.78994271,327.42677266,334.50850173,313.4107506
12130544,2,-2,-2,-2,-2,0,376.80552143,376.80552143,112.64946606,367.34992348,639.23703623,380.8581672,114.81269922,387.3757326,378.81252209,364.92387891,650.13163236,109.21243341,667.7696047,362.64650163,113.93817499,615.28489595,111.93721323,371.06120744,370.29574336,373.67439774,376.69116211,369.64609375,646.10177265,114.55489244,379.90680341,609.00647173,417.1786653,369.17744948,356.15243451,119.76788958,376.06538844,601.15281774,400.39410576,355.24267758,117.16133377,631.75866771,113.65032096,634.85135793,109.91361125,640.3651469,107.29040758,684.6045929,108.32929643,380.93026363,372.91315106,617.62314861,369.7598677,116.77007244,379.83942339,368.60003975,396.98170817,670.72098568,370.06230053,100.81767116,689.82863569,377.41933129,364.84830781,375.82786083,378.76219124,397.50881331,105.34461465,622.34790397,114.16712956,375.12662734,675.85457354,105.70726509,664.85862421,382.78332321,355.55571544,405.78842327,108.61440471,375.66115374,652.8304443,376.06513422,112.87704656,642.17564808,377.70083496,354.48670917,116.45021934,391.11136741,624.31039325
12130550,4,2,-1,6,-2,1,174.71740168,174.71740168,289.76569118,317.59977056,178.05553019,287.61285066,173.06815467,53.199764695,181.39351073,50.413196486,172.37756504,304.33874308,52.658653579,163.91580161,317.4920021,165.23581986,177.51008466,52.531009571,170.67059419,308.80474202,174.96059689,173.0264318,302.90970935,170.06060713,182.43249639,181.25378322,170.89182558,290.473806,181.47415545,51.388428757,300.50787316,165.86294806,52.648316528,176.29745219,51.638755391,169.56890486,305.05052495,181.07627932,291.00505823,296.06358706,176.16265337,173.81820872,185.43176448,165.79724972,54.154870245,51.261660125,49.633115003,52.197756949,294.3976372,175.39285561,52.831610437,175.43954057,177.29992675,307.61510428,173.88507159,172.81761128,52.927471322,299.06277208,170.76824391,302.31061029,49.794580969,299.85877232,179.43059147,309.53807593,52.240075491,178.07767193,166.89984407,310.00605903,171.7053189,178.29617873,49.324430848,194.68343339,280.37588135,53.901311579,50.24966312,52.657370698,50.204559164,179.57250656,175.9804976,174.28915196,175.33331194
12130582,5,2,-1,-1,-2,0,176.19708539,176.19708539,170.16479807,180.21069172,176.68435361,173.60718352,176.43757782,303.15921069,50.633044235,178.33917877,305.0595671,172.08438193,184.16897612,172.31006399,52.414045177,182.13716194,285.73998299,179.70255598,179.01098461,51.385554411,298.16000874,51.822132371,300.88142363,52.547033308,293.15579989,51.728529052,305.09309368,48.850644959,180.8822977,179.92597028,295.15288137,178.9503973,51.365115367,172.64097226,181.1618315,175.06904396,298.5245452,180.03519322,50.875814548,295.44220152,181.08476467,172.74976286,175.66330871,174.29572532,177.36424986,52.235798176,301.18808808,53.922437764,167.85681112,306.47259381,53.365616143,299.42485195,179.38657873,173.24050582,176.66418055,49.504116049,186.32960463,292.09473536,181.69965218,49.355332496,321.58689219,164.50432076,185.87151554,49.058852119,183.16496962,290.84555077,53.142219147,170.43560311,298.91892142,175.90484397,54.182162985,174.48581547,175.56692274,180.49227295,291.63650664,52.41884202,310.83482834,177.2119753,50.234846895,302.69509223,52.923373795
12130608,1,2,1800,2,-2,0,171.06688846,171.06688846,170.23876901,49.899940552,302.19188521,50.183942877,282.73259914,51.431258536,289.95359771,50.250900451,294.98806847,49.696893005,172.59002855,166.35688887,297.60721925,169.17959111,49.399959184,177.48311797,168.28605931,172.37693256,296.82996011,166.14297693,50.227485994,287.46016074,171.49440113,173.30723644,172.13520588,168.4935216,171.57738478,50.822560413,292.34309183,49.008995513,170.58273734,301.06224191,47.447716805,292.55576972,179.74504476,173.08440754,165.41162701,48.709456115,174.4308605,289.74597024,178.94816589,48.445253433,298.03765261,168.65257499,169.76611235,50.975843354,166.52117515,291.54962698,50.854403762,169.69962381,285.32278685,173.69155794,51.565188158,165.66110374,174.12251767,174.00784284,290.79160761,50.947192064,292.26552718,166.57422131,49.737802391,302.01475966,50.095151393,168.78880872,167.85376356,174.75392597,165.89428066,178.36440676,276.68465427,52.559818333,169.81303693,294.48631851,166.41653029,171.63534619,169.02177334,51.872668751,171.36555448,279.09419421,174.02130352
12130634,1,-1,-2,1,-2,0,168.58512793,168.58512793,167.1532333,282.34170042,170.82717547,49.385116451,290.59818856,173.99629601,167.81864537,161.37105069,170.56232131,170.03513521,50.518726908,277.67163992,50.46083159,170.20816796,289.63507531,51.242105236,275.69286224,172.85272401,169.37361146,167.21365022,47.878899862,167.271046,277.43910336,176.51934319,47.494552524,277.2354859,169.18561093,168.02499745,50.471181437,164.4651216,291.08318716,48.79233416,173.7603117,289.83564923,172.22524865,47.573880079,170.13952451,172.96318653,167.01952416,275.38072245,51.311968678,279.93433247,173.03549744,50.587955394,278.54771049,50.335421679,167.04737251,164.91668955,172.51060982,165.59658604,166.1411971,284.40525054,48.7097467,175.33670005,286.2394266,170.39043438,167.05955145,174.47234001,49.418067273,169.04793117,281.99401994,170.30130752,169.53272551,46.913340041,281.0266945,51.891302844,281.76428541,48.736737277,296.98676222,50.720504506,285.40618371,49.095651435,166.72467387,168.41245163,295.68875585,163.86548363,50.880648265,161.52606043,172.0499764
